id,pytanie,ilustracja,odpa,odpb,odpc
149,"Tolerancja wykonania opornika 1 kΩ wynosi 5 %. W jakich granicach zawiera się jego oporność?",,"od 0,9 do 1,1 kΩ","od 0,98 do 1,02 kΩ","od 950 om do 1050 Ω"
150,"Spadek napięcia na oporniku wynosi 100 V, przy prądzie 10 mA. Opornik jakiej mocy zastosujemy w tym miejscu?",,"10 W","1 W","0,5 W"
151,"Kondensator mikowy ma pojemność 6800 pF, i napięcie pracy 500V. Czy można go zastosować w miejsce kondensatora 6,8 nF o napięciu pracy 250 V?",,"tak, można","nie można","można, ale potrzebne są dwa takie kondensatory"
152,"W obwodzie prądu zmiennego przy tej samej częstotliwości zmieniono kondensator 2200 pF na 22 nF. Ile razy zmniejszyła się reaktancja Xc?",,"2 razy","100 razy","10 razy"
153,"Tranzystor krzemowy ma wzmocnienie prądowe β = 100. Napięcie zasilania wynosi 5 V. Przez kolektor tego tranzystora płynie prąd 100 mA. Jaki jest prąd bazy tego tranzystora?",,"1 mA","5 mA","20 mA"
154,"W której klasie wzmacniacz telegraficzny ma najwyższą sprawność?",,"w klasie A","w klasie AB","w klasie C"
155,"Mamy dwa kondensatory o pojemności jeden 4,7 nF a drugi 300 pF. Jak należy je połączyć by uzyskać pojemność 5000 pF?",,"szeregowo","równolegle","nie da się z nich złożyć 5000 pF"
156,"W układzie były trzy kondensatory po 30 µF połączone szeregowo . Każdy z nich ma napięcie pracy 100V. Czy możemy je zastąpić jednym kondensatorem 10 µF, jeśli tak, to jakie musi mieć napięcie pracy?",,"nie możemy","możemy stosując kondensator na napięcie 100 V","możemy, stosując kondensator na napięcie 300 V"
157,"Dwie indukcyjności nie sprzężone mają 30 µH i 60 µH. Ile wynosi indukcyjność zastępcza przy połączeniu szeregowym tych indukcyjności?",,"90 µH","20 µH","45 µH"
158,"124. Dwa oporniki 1 kΩ połączone są w szereg i dołączone do napięcia 200 V. Jaki jest spadek napięcia na każdym z tych oporników?",,"50 V","100 V","200 V"
159,"Obwód rezonansowy równoległy LC w punkcie rezonansu przedstawia impedancję:",,"rzeczywistą omową","reaktancję pojemnościową","reaktancję indukcyjną"
160,"Mamy obwód rezonansowy o częstotliwości 3,5 MHz. W jego skład wchodzi pojemność C = 400 pF. Jaką pojemność należy dołączyć zamiast C, by przestroić obwód na 7 MHz?",,"200 pF","100 pF","57 pF"
161,"Obwód rezonansowy na częstotliwość 14 MHz ma dobroć Q=100. Jaka jest szerokość pasma tego obwodu rezonansowego?",,"280 kHz","14 kHz","140 kHz"
162,"Na rysunku przedstawiono schemat prostownika. Jak nazywa się ten rodzaj prostownika?","A_1_162.png","prostownik dwupołówkowy","prostownik jednopołówkowy","prostownik mostkowy dwupołówkowy"
163,"Na wyjściu transformatora sieciowego jest napięcie skuteczne = 350 V. Czy w prostowniku jednopołówkowym można użyć diody wytrzymującej wstecznie 400 V?",,"tak","nie","tak, ale z opornikiem w szereg"
164,"Napięcie na wyjściu zasilacza nieobciążonego z filtrem pojemnościowym, wynosi 25 V. Jakie jest napięcie Usk transformatora zasilającego diody?",,"25 V","17,7 V","20 V"
165,"Wzmacniacz posiada wzmocnienie napięciowe 10 razy. Wyraź to wzmocnienie w decybelach (dB)",,"10 dB","20 dB","40 dB"
166,"Wzmacniacz wysokiej częstotliwości obciążony obwodem rezonansowym jest:",,"wzmacniaczem selektywnym","wzmacniaczem szerokopasmowym","wzmacniaczem akustycznym"
167,"W tranzystorowym wzmacniaczu mocy który element jest niezbędny aby nie generować zakłóceń harmonicznych?",,"filtr dolnoprzepustowy","przełącznik nadawanie-odbiór","układ dopasowania bazy tranzystora"
168,"Na rysunku przedstawiono schemat detektora diodowego. Jaką rolę spełnia w nim kondensator C1?","A_1_168.png","jest kondensatorem filtrującym prądy w.cz.","poprawia odtwarzanie wysokich tonów","chroni słuchawki przed uszkodzeniem  "
169,"Dlaczego do detekcji sygnałów telegrafii CW używamy detektora mnożącego i pomocniczego generatora BFO?",,"bo sygnał CW jest przerywany","musimy wytworzyć słyszalne dudnienia z niemodulowanym sygnałem CW","bo sygnał CW jest słaby"
170,"Aby czytelnie odebrać sygnał SSB, to przy odbiorze dolnej wstęgi (LSB) sygnał odtwarzający falę nośną powinien być:",,"poniżej wstęgi LSB","powyżej wstęgi LSB","w środku LSB"
171,"Czy dyskryminator sygnału FM powinien reagować na modulację amplitudy sygnału FM?",,"nie","tak","nie ma to znaczenia"
172,"Warunkiem wzbudzenia się generatora z obwodem rezonansowym jest:",,"zastosowanie obwodu rezonansu szeregowego","spełnienie warunku amplitudy i fazy","zastosowanie ujemnego sprzężenia zwrotnego"
173,"Generator TCXO wysoką stabilność zawdzięcza:",,"zastosowaniu specjalnych układów korygujących częstotliwość","docięciu kryształu kwarcu z dokładnością do femtometrów","stabilizacji temperatury oscylatora"
174,"Bezpośrednia synteza cyfrowa (DDS) generuje przebieg przez:",,"użycie przetwornika cyfrowo-analogowego ","cyfrowe przestrajanie obwodu rezonansowego ","cyfrowe sterowanie układem NE555"
175,"Na rysunku przedstawiono schemat stabilizacji PLL w formie ponumerowanych ale nie opisanych bloków. Blok 2 to:","A_1_175.png","komparator fazy","dzielnik","generator wzorca"
176,"Na rysunku przedstawiono schemat stabilizacji PLL w formie ponumerowanych ale nie opisanych bloków. Blok 3 to:","A_1_176.png","dzielnik nastawny","komparator fazy","wzmacniacz błędu"
177,"Na rysunku przedstawiono schemat stabilizacji PLL w formie ponumerowanych ale nie opisanych bloków. Blok 5 to:","A_1_177.png","dzielnik wzorca","generator stabilizowany","komparator fazy"
178,"Na rysunku przedstawiono schemat stabilizacji PLL w formie ponumerowanych ale nie opisanych bloków. Blok 6 to:","A_1_178.png","komparator fazy","dzielnik nastawny","wzmacniacz błędu"
179,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM z pojedynczą przemianą. Blok 2 to:","A_1_179.png","wzmacniacz akustyczny","mieszacz","detektor AM"
180,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM z pojedynczą przemianą. Blok 3 to:","A_1_180.png","filtr wejściowy","wzmacniacz pośredniej cz.","heterodyna"
181,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM z pojedynczą przemianą. Blok 4 to:","A_1_181.png","wzmacniacz akustyczny","filtr wejściowy","detektor AM"
182,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM z pojedynczą przemianą. Blok 6 to:","A_1_182.png","filtr wejściowy","wzmacniacz akustyczny","heterodyna"
183,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 2 to:","A_1_183.png","wzmacniacz akustyczny","I mieszacz","filtr przełączany II p.cz.  "
184,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 3 to:","A_1_184.png","BFO","wzmacniacz I pośredniej cz.","heterodyna"
185,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 4 to:","A_1_185.png","wzmacniacz akustyczny","BFO","II mieszacz"
186,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 5 to:","A_1_186.png","II heterodyna stała","wzmacniacz akustyczny","detektor AM CW SSB  "
187,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 6 to:","A_1_187.png","filtr przełączany II p.cz.","wzmacniacz akustyczny","II heterodyna stała"
188,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 7 to:","A_1_188.png","BFO","wzmacniacz II pośredniej cz.","detektor AM , CW, SSB"
189,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 8 to:","A_1_189.png","wzmacniacz akustyczny","wzmacniacz w.cz.","detektor AM, CW, SSB"
190,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 10 to:","A_1_190.png","wzmacniacz akustyczny","BFO","detektor AM, CW, SSB"
191,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 11 to:","A_1_191.png","I heterodyna strojona","wzmacniacz akustyczny","detektor AM"
192,"Na rysunku przedstawiono schemat blokowy odbiornika homodynowego CW i SSB, na jedno pasmo amatorskie. Blok 2 to:","A_1_192.png","wzmacniacz akustyczny","filtr wejściowy","mieszacz zrównoważony  "
193,"Na rysunku przedstawiono schemat blokowy odbiornika homodynowego CW i SSB, na jedno pasmo amatorskie. Blok 3 to:","A_1_193.png","heterodyna","wzmacniacz akustyczny","filtr wejściowy"
194,"Na rysunku przedstawiono schemat blokowy odbiornika homodynowego CW i SSB, na jedno pasmo amatorskie. Blok 4 to:","A_1_194.png","filtr wejściowy","wzmacniacz akustyczny","heterodyna"
195,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 1 to:","A_1_195.png","wzmacniacz w.cz.","wzmacniacz akustyczny","detektor FM"
196,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 3 to:","A_1_196.png","wzmacniacz w.cz.","wzmacniacz I pośredniej cz. 10,7 MHz","I heterodyna"
197,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 4 to:","A_1_197.png","wzmacniacz akustyczny","blokada szumów","II mieszacz"
198,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 5 to:","A_1_198.png","II heterodyna stała","wzmacniacz II p.cz. 455 kHz","detektor FM"
199,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 6 to:","A_1_199.png","detektor FM","wzmacniacz akustyczny","II heterodyna stała"
200,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 7 to:","A_1_200.png","wzmacniacz II p. cz. 455kHz","wzmacniacz akustyczny","detektor FM"
201,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 8 to:","A_1_201.png","wzmacniacz akustyczny","blokada szumów","detektor FM"
202,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 9 to:","A_1_202.png","wzmacniacz akustyczny","blokada szumów","II heterodyna stała"
203,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 10 to:","A_1_203.png","I heterodyna kwarcowa","wzmacniacz akustyczny","detektor FM"
204,"Przez selektywność odbiornika rozumiemy jego:",,"zdolność do wyodrębnienia pożądanego sygnału","dolny próg poziomu sygnału, który może odebrać","szum własny odbiornika"
205,"Na rysunku przedstawiono schemat blokowy nadajnika telegraficznego na jedno pasmo amatorskie. Blok 1 to:","A_1_205.png","separator","wzmacniacz mocy (PA)","oscylator (VFO)"
206,"Na rysunku przedstawiono schemat blokowy nadajnika telegraficznego na jedno pasmo amatorskie. Blok 2 to:","A_1_206.png","wzmacniacz mocy (PA)","oscylator (VFO)","separator"
207,"Na rysunku przedstawiono schemat blokowy nadajnika telegraficznego na jedno pasmo amatorskie. Blok 3 to:","A_1_207.png","oscylator (VFO)","wzmacniacz mocy (PA)","filtr wyjściowy"
208,"Na rysunku przedstawiono schemat blokowy nadajnika telegraficznego na kilka pasm amatorskich z powielaniem częstotliwości. Blok 2 to:","A_1_208.png","wzmacniacz sterujący","separator","I powielacz x2"
209,"Na rysunku przedstawiono schemat blokowy nadajnika SSB na dwa pasma amatorskie z wzbudnicą 9 MHz. Blok 3 to:","A_1_209.png","filtr pasmowy 3,5 - 14 MHz","wzmacniacz mocy (PA)","VFO 5 - 5.,5 MHz"
210,"Na rysunku przedstawiono schemat blokowy nadajnika SSB na dwa pasma amatorskie z wzbudnicą 9 MHz. Blok 4 to:","A_1_210.png","wzmacniacz sterujący","filtr wyjściowy","wzbudnica SSB 9 MHz"
211,"Na rysunku przedstawiono schemat blokowy nadajnika SSB na dwa pasma amatorskie z wzbudnicą 9 MHz. Blok 5 to:","A_1_211.png","wzmacniacz mocy (PA)","mieszacz","oscylator (VFO) 5 - 5,5 MHz"
212,"Na rysunku przedstawiono schemat blokowy nadajnika SSB na dwa pasma amatorskie z wzbudnicą 9 MHz. Blok 6 to:","A_1_212.png","wzmacniacz mocy (PA)","filtr wyjściowy","mieszacz"
213,"Na rysunku przedstawiono schemat blokowy nadajnika SSB na dwa pasma amatorskie z wzbudnicą 9 MHz. Blok 7 to:","A_1_213.png","oscylator (VFO) 5-5,5 MHz","filtr wyjściowy","filtr pasmowy 3,5 - 14 MHz"
214,"Jak zmienia się impedancja dipola półfalowego, gdy obniżamy wysokość jego zawieszenia?",,"rośnie.","maleje.","nie ulega zmianie."
215,"Zysk anteny kierunkowej wyrażony jest w dBi. Względem jakiego źródła jest określony?",,"dipola pomiarowego","źródła izotropowego","innej anteny kierunkowej"
216,"Jaka jest różnica pomiędzy efektywną mocą promieniowaną e.r.p. a efektywną mocą promieniowaną izotropowo e.i.r.p?",,"e.i.r.p. jest większe o 2,15 dB od e.r.p.","e.i.r.p. jest mniejsze o 2,15 dB od e.r.p.","nie ma różnicy"
217,"Antena kierunkowa daje napięcie 4 razy większe, niż dipol półfalowy zawieszony w tym samym miejscu. Jaki zysk ma antena kierunkowa?",,"6 dBd","4 dBd","12 dBd"
218,"Kabel koncentryczny o długości 100m, przy częstotliwości 144MHz wprowadza tłumienie 12dB. Długość kabla pomiędzy nadajnikiem 100 W a anteną wynosi 50 m. Jaka część tej mocy zostanie doprowadzona do anteny?",,"25%","50%","75%"
219,"Jakie długości fal zaliczamy do zakresu fal krótkich?",,"od 100 m do 10 m","od 80 m do 10 m","od 160 m do 10 m"
220,"Propagacja jonosferyczna latem, w dzień, pasma radioamatorskiego 20 m, najczęściej odbywa się przez odbicie od warstwy:",,"D","E","F"
221,"O czym mówi podawana w prognozach propagacji częstotliwość MUF?",,"o zakłóceniach odbioru","o maksymalnej częstotliwości do łączności na danej trasie","o zaniku łączności w danym kierunku"
222,"Co to jest strefa martwa na falach krótkich?",,"strefa bez odbioru leżąca pomiędzy końcem fali przyziemnej a powrotem fali odbitej od jonosfery","strefa bez odbioru z powodu dużych zakłóceń w mieście","strefa w której brak odbioru z powodu interferencji fal przychodzących z różnych kierunków"
223,"Jakim przyrządem możemy sprawdzić kształt napięcia zmiennego w.cz. i wykryć zniekształcenia sygnału?",,"oscyloskopem","miernikiem napięcia","słuchając odbiornikiem"
224,"Akumulator ma pojemność 20Ah i pozwala na pracę pełną mocą radiostacji, która pobiera średnio około 5A. Czy taki akumulator wystarczy na trzygodzinną pracę tej radiostacji?",,"wystarczy, z pewnym zapasem","nie wystarczy, akumulator ma zbyt małą pojemność","akumulator ulegnie uszkodzeniu"
225,"Jakie typowo przyjmuje się pasmo częstotliwości przy transmisjach głosowych na pasmach amatorskich:",,"od 300 Hz do 3 kHz","od 20 Hz do 20 kHz","od 400 Hz do 900 Hz"
226,"Dlaczego modulacja amplitudy AM (A3E) jest obecnie rzadziej używana od SSB (J3E)?",,"gdyż ma znacznie mniejszą sprawność energetyczną i szerokość emitowanego sygnału jest dwukrotnie większa niż SSB","gdyż obecne transceivery są zbyt skomplikowane, by z niej sprawnie korzystać","dlatego, że AM jest używana w profesjonalnej radiofonii"
227,"Najważniejsza z cech rezonatora kwarcowego to:",,"stabilność częstotliwości","odporność na wysokie napięcie","odporność na wibracje"
228,"Wzmacniacz, który wzmacnia sygnały w zakresie pasm amatorskich 3,5, 7 i 14 MHz z takim samym wzmocnieniem nazywamy:",,"wzmacniaczem mocy","wzmacniaczem szerokopasmowym","wzmacniaczem ze strojonymi obwodami pośredniej częstotliwości"
229,"Wzmacniacz w klasie C nie może być używany do:",,"fali nośnej, sygnałów modulacji częstotliwości","sygnałów jednowstęgowych (J3E)","może być używany wszędzie, gdyż ma wyższą sprawność"
230,"Generator BFO jest niezbędny do odbioru:",,"sygnałów modulacji częstotliwości (F3E)","sygnałów modulacji amplitudy z pełną falą nośną (A3E)","sygnałów telegraficznych (A1) i modulacji amplitudy ze zredukowaną falą nośną"
231,"Który z czynników wpływa na stabilność generatora z obwodem LC:",,"temperatura","zmiana wymiarów mechanicznych","oba wyżej wymienione"
232,"Na wyświetlaczu radiostacji z prezentacją widma można obserwować:",,"częstotliwość i amplitudę sygnału","amplitudę i fazę sygnału","częstotliwość i opóźnienie"
233,"Początkujący krótkofalowiec sfrustrował się brakiem stacji w paśmie 24 MHz. Opiekun radiostacji klubowej zalecił mu przejście na ""niższe"" pasmo. Które pasmo powinien wybrać? ",,"10 m ","12 m ","20 m"
234,"Prędkość rozchodzenia się fali elektromagnetycznej w ośrodku innym niż próżnia jest:",,"mniejsza niż w próżni","większa niż w próżni","mniejsza lub większa niż w próżni, zależnie od rodzaju ośrodka"
235,"Jeżeli składowa elektryczna fali jest prostopadła do ziemi, to fala ma polaryzację:",,"poziomą","pionową","nie da się tego stwierdzić bez znajomości ułożenia składowej magnetycznej"
236,"Napięcie międzyszczytowe sinusoidalnego napięcia zmiennego wynosi 678 V. Ile wynosi wartość skuteczna tego napięcia?",,"339 V","240 V","481 V"
237,"Częstotliwość prądu przemiennego wynosi 50 Hz, jaki jest okres drgań?",,"20 ms","50 ms","500 ms"
238,"Sygnał prostokątny o idealnie ostrych zboczach zajmuje pasmo o szerokości:",,"dziesięciokrotności częstotliwości sygnału wejściowego.","zerowej.","nieskończonej"
239,"Modulacja telegraficzna CW polega na:",,"przerywaniu fali nośnej","zmianie częstotliwości fali nośnej","zmianie fazy fali nośnej"
240,"W emisji RTTY używane jest:",,"kluczowanie amplitudy","kluczowanie fazy","kluczowanie częstotliwości"
241,"Zwiększając liczbę możliwych przesunięć fazy w modulacji PSK, bez zwiększania baudrate, szerokość pasma sygnału:",,"zwiększa się","zmniejsza się","nie zmienia się"
242,"Moc wyjściową nadajnika FM podano w dBW i wynosi ona 13 dBW. Ile to jest w watach?",,"5 W","130 W","20 W"
243,"Zasilacz dostarcza do stopnia końcowego nadajnika napięcie 500 V i prąd 200 mA. Jaka jest sprawność energetyczna stopnia końcowego, jeżeli na wyjściu zmierzyliśmy moc PEP = 40 W?",,"50%","40%","60%"
244,"Która z podanych mocy PEP odpowiada napięciu maksymalnemu Umax = 100 V, zmierzonemu oscyloskopem na wyjściu nadajnika, na obciążeniu 50 omów (zakładamy sygnał sinusoidalny)?",,"200 W","100 W","50 W"
245,"W przetwornikach analogowo-cyfrowych, aby poprawnie odczytać sygnał wejściowy, częstotliwość próbkowania musi być:",,"większa lub równa dwukrotności najwyższej częstotliwości przetwarzanego sygnału","większa lub równa najwyższej częstotliwości przetwarzanego sygnału","większa lub równa połowie najwyższej częstotliwości przetwarzanego sygnału"
246,"Filtr antyaliasingowy w odbiorniku SDR może być zrealizowany jako:",,"filtr sprzętowy","filtr programowy","filtr sprzętowy lub programowy"
247,"Rezystor o wartości 10 Ω dołączono do napięcia 3 V. Jakiej mocy rezystor należy dobrać, żeby nie uległ on uszkodzeniu?",,"1 W","0,125 W","0,5 W"
248,"W kondensatorze energia jest magazynowana w:",,"polu elektrycznym","polu magnetycznym","nie jest magazynowana"
249,"W obwodzie prądu przemiennego, przy tej samej częstotliwości, zmieniono kondensator 2200 pF na 22 nF. Ile razy zmniejszyła się reaktancja kondensatora?",,"0,1 raza","100 razy","10 razy"
250,"W kondensatorze przy napięciu przemiennym:",,"prąd wyprzedza napięcie w fazie o 90 stopni","prąd jest w fazie z napięciem","napięcie wyprzedza prąd w fazie o 90 stopni"
251,"Do budowy cewek często wykorzystujemy rdzenie toroidalne, ponieważ:",,"wprowadzają mniejsze straty w polu magnetycznym niż powietrze","można przez cewkę przesłać znacznie większy prąd","większość pola magnetycznego zamyka się w rdzeniu i cewka mniej wpływa na inne elementy"
252,"Stwierdzono, że wpływające do układu napięcie wyprzedza w fazie prąd. Układ ten ma charakter:",,"rezystancyjny","pojemnościowy","indukcyjny"
253,"Diody Zenera to diody:",,"do stabilizacji napięć","świecące","na bardzo wysokie częstotliwości"
254,"Zasadniczym przeznaczeniem diody PIN jest:",,"prostowanie bardzo dużych napięć i prądów","stosowanie jej jako przełącznika w. cz.","stosowanie jej jako elementu ochronnego przed przepięciem"
255,"Zasadniczymi zaletami diody TVS (Transil) są:",,"szybkie przełączanie i rozpraszanie dużych chwilowych mocy","spadek napięcia rzędu 1 mV i bardzo mała pojemność złącza","dodatkowy zacisk sterujący i liniowa charakterystyka prądowo-napięciowa"
256,"Na wyjściu transformatora sieciowego napięcie skuteczne jest równe 300 V. Czy w prostowniku jednopołówkowym można użyć diody wytrzymującej wsteczne 400 V?",,"tak","nie","tak, ale tylko przy małych obciążeniach"
257,"Aby tranzystor PNP zaczął przewodzić, należy przyłożyć pomiędzy jego bazę i emiter napięcie:",,"dodatnie (wyższy potencjał do bazy)","ujemne (niższy potencjał do bazy)","zerowe (taki sam potencjał na bazie i emiterze)"
258,"Tranzystory bipolarne i polowe sterujemy odpowiednio:",,"napięciem i prądem","prądem i prądem","prądem i napięciem"
259,"We wzmacniaczu tranzystorowym w układzie wspólnej bazy, sygnał wejściowy podajemy pomiędzy:",,"kolektor i bazę","emiter i bazę","kolektor i emiter"
260,"W idealnym tranzystorze MOSFET prąd wpływający do bramki jest:",,"mniejszy o tyle razy od prądu drenu, o ile wynosi wzmocnienie tranzystora","równy w przybliżeniu 1 mA","zerowy"
261,"Jaka jest funkcja kondensatora C1 w układzie przedstawionym na rysunku?","A_1_261.png","zwiększenie wzmocnienia dla prądów zmiennych","filtrowanie prądu spoczynkowego","nie ma żadnej funkcji "
262,"Mamy dwa kondensatory o pojemności 4,7 nF oraz 300 pF. Jak należy je połączyć, by uzyskać pojemność 5000 pF?",,"szeregowo","równolegle","nie da się uzyskać pojemności 5000 pF"
263,"W układzie były trzy kondensatory, każdy po 30 μF, połączone szeregowo. Każdy z nich ma napięcie pracy 100V. Czy możemy je zastąpić jednym kondensatorem 10 μF? Jeśli tak, to o jakim napięciu pracy?",,"nie możemy","możemy, stosując kondensator na napięcie 100 V","możemy, stosując kondensator na napięcie 300 V"
264,"Dwie niezależne cewki mają indukcyjności 30 μH i 60 μH. Ile wynosi indukcyjność zastępcza przy połączeniu szeregowym tych cewek?",,"90 μH","45 μH","20 μH"
265,"Obwód rezonansowy szeregowy LC, w punkcie rezonansu, przedstawia:",,"tylko rezystancję","reaktancję pojemnościową","reaktancję indukcyjną"
266,"Jeżeli dobroć obwodu rezonansowego Q = 100, to pasmo przy częstotliwości obwodu 14 MHz ma szerokość:",,"280 kHz","14 kHz","140 kHz"
267,"Skrzynka antenowa w układzie T, gdzie szeregowo włączone są kondensatory, a równolegle cewka, jest:",,"filtrem dolnoprzepustowym","filtrem górnoprzepustowym","filtrem pasmowym"
268,"Zwiększenie rzędu filtru powoduje:",,"zwiększenie stromości zbocza","pogorszenie właściwości filtracyjnych","zmianę częstotliwości rezonansowej"
269,"Jaka jest funkcja rezystorów R1 i R2 w układzie przedstawionym na rysunku?","A_1_269.png","Zabezpieczenie tranzystora przed uszkodzeniem","Zwiększenie impedancji wejściowej","Ustalenie punktu pracy"
270,"Która klasa pracy wzmacniacza wprowadza najmniejsze zniekształcenia?",,"klasa AB","klasa A","klasa C"
271,"Demodulator FM może być zbudowany z użyciem:",,"pojedynczej diody i kondensatora","mieszacza podwójnie zrównoważonego","pętli synchronizacji fazy"
272,"Jaki jest cel włączenia szeregowo rezystora i kondensatora pomiędzy wejście i wyjście wzmacniacza mocy z tranzystorem w układzie wspólnego źródła?",,"zwiększenie wzmocnienia wzmacniacza.","utworzenie obwodu rezonansowego, który działa jako filtr pasmowy.","zwiększenie stabilności wzmacniacza."
273,"Szum fazowy jest wynikiem:",,"kluczowania fazy (PSK)","krótkich i niewielkich odchyleń częstotliwości generatora","mieszania się sygnałów o różnych fazach"
274,"Jako dzielnik częstotliwości w pętli synchronizacji fazy można użyć:",,"licznik","wzmacniacz operacyjny","dzielnik rezystorowy"
275,"W transceiverach SDR do przetwornika A/C doprowadza się sygnały kwadraturowe (oznaczone jako I oraz Q). Jaki jest tego cel?",,"Możliwość zaprogramowania demodulatora dla każdej emisji","Minimalizacja zniekształceń sygnału","Możliwość demodulacji sygnałów z dwóch różnych źródeł"
276,"Bezpośrednia synteza cyfrowa (DDS) generuje przebieg przez:",,"użycie przetwornika cyfrowo-analogowego","cyfrowe przestrajanie obwodu rezonansowego","cyfrowe sterowanie układem NE555"
277,"Odbiornik homodynowy od superheteredynowego odróżnia:",,"brak częstotliwości pośredniej (jest równa 0)","brak generatora","brak demodulatora"
278,"Dewiacja sygnału FM opisuje:",,"maksymalny odchył od częstotliwości nośnej","szerokość pasma sygnału","maksymalne różnice amplitudy sygnału"
279,"Zbyt szybkie narastanie i opadanie sygnału telegraficznego powoduje:",,"zakłócenia określane jako ""kliki""","zwiększenie mocy wyjściowej nadajnika,","zmniejszenie pasma używanego w tej emisji."
280,"Antena Yagi-Uda składa się co najmniej z: ",,"reflektora i wibratora","wibratora i directora","pięciu prętów aluminiowych   "
281,"Jeśli SWR w punkcie zasilania jest równy 1:1 to oznacza, że:",,"osiągnięto bardzo dobre dopasowanie linii zasilającej do nadajnika","antena jest zawsze najlepiej dopasowana","antena może pracować na kilku pasmach"
282,"Gdy antena jest w rezonansie, to:",,"moduł impedancji jest równy 50 Ω","reaktancja jest równa 0 Ω","reaktancja jest nieskończenie duża"
283,"Dipol półfalowy na pasmo 80 m prezentuje na paśmie 40 m",,"niską impedancję","bardzo wysoką impedancję","zwarcie"
284,"Dipol półfalowy na pasmo 40m można użyć na paśmie:",,"7 i 21 MHz","3,5 i 5 MHz","7 i 28 MHz"
285,"W antenie Yagi-Uda rolę wibratora pełni ",,"odcinek o długości 1/4 fali ","dipol półfalowy","rezonator całofalowy"
286,"Antena Yagi-Uda z wibratorem skierowanym równolegle do ziemi będzie miała polaryzację ",,"poziomą ","pionową ","lewoskrętną na półkuli południowej i prawoskrętną na północnej"
287,"Amatorskie radiolatarnie w paśmie 144 MHz pracują w polaryzacji poziomej. Czy można sygnał takiej radiolatarni odbierać anteną o polaryzacji pionowej?",,"tak, nie ma przeciwwskazań ","tak choć sygnał będzie znacznie słabszy niż przy zgodnej polaryzacji ","nie, może to spowodować uszkodzenie odbiornika lub anteny."
288,"Zysk anteny wyrażony jest w dBi. Względem jakiego źródła jest określony?",,"Dipola półfalowego","Anteny izotropowej","Anteny pionowej ćwierćfalowej"
289,"Antena kierunkowa w kierunku wiązki głównej wytwarza pole EM o natężeniu 4 razy większym, niż dipol półfalowy zawieszony w tym samym miejscu. Jaki zysk ma antena?",,"6 dBd","4 dBd","12 dBd"
